#,nodes,n_gw,cost,algo,cost_customer,5ymontlycostcustomer,type_cost,area,ratio,cluster_size,time,seed
157,267,1,146900.0,dijkstra,413.80281690140845,6.896713615023475,deploy,fauglia,25,200,17128265411,50
158,267,1,166651.0,dijkstra,469.4394366197183,7.8239906103286385,radio_cost,fauglia,25,200,17128265411,50
159,267,1,4913.102,dijkstra,13.839723943661971,0.2306620657276995,fiber_cost,fauglia,25,200,17128265411,50
160,271,1,48000.0,dijkstra,136.36363636363637,2.272727272727273,router_cost,fauglia,25,200,17128263255,50
161,271,1,152100.0,dijkstra,432.10227272727275,7.201704545454546,deploy,fauglia,25,200,17128263255,50
162,271,1,167412.0,dijkstra,475.60227272727275,7.9267045454545455,radio_cost,fauglia,25,200,17128263255,50
163,271,1,10508.714,dijkstra,29.854301136363635,0.4975716856060606,fiber_cost,fauglia,25,200,17128263255,50
164,288,1,47000.0,dijkstra,134.6704871060172,2.24450811843362,router_cost,fauglia,25,200,17128262854,50
165,288,1,155200.0,dijkstra,444.6991404011461,7.411652340019102,deploy,fauglia,25,200,17128262854,50
166,288,1,170068.0,dijkstra,487.3008595988539,8.12168099331423,radio_cost,fauglia,25,200,17128262854,50
167,288,1,13994.666,dijkstra,40.09932951289398,0.6683221585482331,fiber_cost,fauglia,25,200,17128262854,50
168,278,1,48500.0,dijkstra,138.57142857142858,2.3095238095238098,router_cost,fauglia,25,200,17128262988,50
169,278,1,154600.0,dijkstra,441.7142857142857,7.3619047619047615,deploy,fauglia,25,200,17128262988,50
170,278,1,174283.0,dijkstra,497.95142857142855,8.299190476190477,radio_cost,fauglia,25,200,17128262988,50
171,278,1,3407.6839999999997,dijkstra,9.736239999999999,0.16227066666666665,fiber_cost,fauglia,25,200,17128262988,50
172,285,1,44500.0,dijkstra,128.61271676300578,2.1435452793834298,router_cost,fauglia,25,200,17128265075,50
173,285,1,150200.0,dijkstra,434.1040462427746,7.235067437379577,deploy,fauglia,25,200,17128265075,50
174,285,1,166263.0,dijkstra,480.52890173410407,8.008815028901735,radio_cost,fauglia,25,200,17128265075,50
175,285,1,2649.392,dijkstra,7.657202312138728,0.12762003853564546,fiber_cost,fauglia,25,200,17128265075,50
176,277,1,55500.0,dijkstra,155.8988764044944,2.598314606741573,router_cost,fauglia,25,200,17128264538,50
177,277,1,165600.0,dijkstra,465.1685393258427,7.752808988764045,deploy,fauglia,25,200,17128264538,50
178,277,1,197150.0,dijkstra,553.7921348314607,9.229868913857677,radio_cost,fauglia,25,200,17128264538,50
179,277,1,9079.972,dijkstra,25.505539325842697,0.4250923220973783,fiber_cost,fauglia,25,200,17128264538,50
180,271,1,50000.0,dijkstra,142.85714285714286,2.380952380952381,router_cost,fauglia,25,200,17128265610,50
181,271,1,154300.0,dijkstra,440.85714285714283,7.347619047619047,deploy,fauglia,25,200,17128265610,50
182,271,1,169117.0,dijkstra,483.19142857142856,8.053190476190476,radio_cost,fauglia,25,200,17128265610,50
183,271,1,6969.448,dijkstra,19.912708571428574,0.3318784761904762,fiber_cost,fauglia,25,200,17128265610,50
184,284,1,52000.0,dijkstra,147.72727272727272,2.462121212121212,router_cost,fauglia,25,200,17128265348,50
185,284,1,161900.0,dijkstra,459.9431818181818,7.665719696969696,deploy,fauglia,25,200,17128265348,50
186,284,1,178066.0,dijkstra,505.8693181818182,8.431155303030303,radio_cost,fauglia,25,200,17128265348,50
187,284,1,11709.188000000002,dijkstra,33.26473863636364,0.5544123106060607,fiber_cost,fauglia,25,200,17128265348,50
188,273,1,49500.0,dijkstra,139.83050847457628,2.330508474576271,router_cost,fauglia,25,200,17128264874,50
189,273,1,155400.0,dijkstra,438.9830508474576,7.316384180790959,deploy,fauglia,25,200,17128264874,50
190,273,1,174605.0,dijkstra,493.23446327683615,8.220574387947268,radio_cost,fauglia,25,200,17128264874,50
191,273,1,6612.3060000000005,dijkstra,18.67883050847458,0.31131384180790966,fiber_cost,fauglia,25,200,17128264874,50
192,283,1,49000.0,dijkstra,139.20454545454547,2.320075757575758,router_cost,fauglia,25,200,17128262588,50
193,283,1,157100.0,dijkstra,446.3068181818182,7.43844696969697,deploy,fauglia,25,200,17128262588,50
194,283,1,173317.0,dijkstra,492.37784090909093,8.20629734848485,radio_cost,fauglia,25,200,17128262588,50
195,283,1,13391.886,dijkstra,38.045130681818186,0.6340855113636364,fiber_cost,fauglia,25,200,17128262588,50
196,684,1,166500.0,dijkstra,120.30346820809248,2.005057803468208,router_cost,fauglia,100,100,17128280871,50
197,684,1,472500.0,dijkstra,341.4017341040462,5.690028901734103,deploy,fauglia,100,100,17128280871,50
198,684,1,396318.0,dijkstra,286.35693641618496,4.772615606936416,radio_cost,fauglia,100,100,17128280871,50
199,684,1,24092.546,dijkstra,17.407908959537572,0.2901318159922929,fiber_cost,fauglia,100,100,17128280871,50
200,676,1,166500.0,dijkstra,121.26729788783685,2.0211216314639473,router_cost,fauglia,100,100,17128280198,50
